"filename", "language", "TypeScript JSX", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "Properties", "MS SQL", "XML", "comment", "blank", "total"
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\inputOrange.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\reactPickers.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\navigation\Footer.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\navigation\Loader.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\navigation\Sidebar.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 93
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\navigation\navbar.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 67
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\pages\Dashboard\AdminDashboard.tsx", "TypeScript JSX", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\pages\cart\Cart.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\pages\landing-page\LandingPage.tsx", "TypeScript JSX", 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 246
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\toast\index.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 116
